2017-10-18 00:29:16 INFO  TC001_VerifyLoginWithInvalidData: 25 - ======Starting VerifyLoginWithInvalidData Test=======
2017-10-18 00:29:19 INFO  HomePage: 37 - clicked on login and object is: [[FirefoxDriver: firefox on XP (11d98f1b-6c9d-4474-a487-ddf96300ca60)] -> class name: login-button]
2017-10-18 00:29:20 INFO  HomePage: 39 - entered email address and object is: [[FirefoxDriver: firefox on XP (11d98f1b-6c9d-4474-a487-ddf96300ca60)] -> id: username]
2017-10-18 00:29:20 INFO  HomePage: 41 - entered password and object is: [[FirefoxDriver: firefox on XP (11d98f1b-6c9d-4474-a487-ddf96300ca60)] -> id: password]
2017-10-18 00:29:25 INFO  HomePage: 43 - clicked on signin button and object is: [[FirefoxDriver: firefox on XP (11d98f1b-6c9d-4474-a487-ddf96300ca60)] -> id: singlebutton]
2017-10-18 00:29:25 INFO  HomePage: 47 - error massage is:   Invalid Email (or) Password
2017-10-18 00:29:25 INFO  TC001_VerifyLoginWithInvalidData: 29 - ======finished VerifyLoginWithInvalidData Test=======
2017-10-19 16:23:36 INFO  TC002_VerifyLoginWithInvalidData: 25 - ======Starting VerifyLoginWithInvalidData Test=======
2017-10-19 16:23:40 INFO  HomePage: 76 - clicked on login and object is: [[FirefoxDriver: firefox on XP (f86b0af6-8ae6-4fe2-8173-98255e81a0df)] -> class name: login-button]
2017-10-19 16:23:40 INFO  HomePage: 78 - entered email address and object is: [[FirefoxDriver: firefox on XP (f86b0af6-8ae6-4fe2-8173-98255e81a0df)] -> id: username]
2017-10-19 16:23:41 INFO  HomePage: 80 - entered password and object is: [[FirefoxDriver: firefox on XP (f86b0af6-8ae6-4fe2-8173-98255e81a0df)] -> id: password]
2017-10-19 16:23:46 INFO  HomePage: 82 - clicked on signin button and object is: [[FirefoxDriver: firefox on XP (f86b0af6-8ae6-4fe2-8173-98255e81a0df)] -> id: singlebutton]
2017-10-19 16:23:46 INFO  HomePage: 114 - error massage is:   Invalid Email (or) Password
2017-10-19 16:23:46 INFO  TC002_VerifyLoginWithInvalidData: 29 - ======finished VerifyLoginWithInvalidData Test=======
2017-10-20 14:02:43 INFO  HomePage: 89 - clicked on Join button and object is: [[FirefoxDriver: firefox on XP (07db8ae6-87ee-4469-a2e0-57bcf5fe684c)] -> class name: register-button]
2017-10-20 14:02:45 INFO  HomePage: 101 - clicked on proceed button and object is: [[FirefoxDriver: firefox on XP (07db8ae6-87ee-4469-a2e0-57bcf5fe684c)] -> id: singlebutton]
2017-10-20 14:20:07 INFO  HomePage: 90 - clicked on Join button and object is: [[FirefoxDriver: firefox on XP (09fcd179-9503-4d36-8a21-5b4b236429b5)] -> class name: register-button]
2017-10-20 14:20:08 INFO  HomePage: 102 - clicked on proceed button and object is: [[FirefoxDriver: firefox on XP (09fcd179-9503-4d36-8a21-5b4b236429b5)] -> id: singlebutton]
2017-10-20 14:36:39 INFO  HomePage: 90 - clicked on Join button and object is: [[FirefoxDriver: firefox on XP (63a8badb-4f20-439a-8726-efaf894ab4df)] -> class name: register-button]
2017-10-20 14:36:40 INFO  HomePage: 102 - clicked on proceed button and object is: [[FirefoxDriver: firefox on XP (63a8badb-4f20-439a-8726-efaf894ab4df)] -> id: singlebutton]
2017-10-20 14:41:10 INFO  HomePage: 90 - clicked on Join button and object is: [[FirefoxDriver: firefox on XP (4cebe999-1b92-47b0-9d70-e0556fd49009)] -> class name: register-button]
